"","AdmArea","Month","Year","TotalAmount"
"64","Восточный административный округ","Июнь","2021","2.27715443058E9"
"65","Юго-Восточный административный округ","Июнь","2021","2.21499275735E9"
"66","Южный административный округ","Июнь","2021","2.48219205764E9"
"67","Юго-Западный административный округ","Июнь","2021","2.27993165469E9"
"68","Западный административный округ","Июнь","2021","1.8948045453E9"
"69","Северо-Западный административный округ","Июнь","2021","1.35382956763E9"
"70","Зеленоградский административный округ","Июнь","2021","4.4387475689E8"
"71","Новомосковский административный округ","Июнь","2021","301901764"
"72","Троицкий административный округ","Июнь","2021","7.83676607E7"
"73","Центральный административный округ","Июль","2021","1.39215498993E9"
"74","Северный административный округ","Июль","2021","1.86884428801E9"
"75","Северо-Восточный административный округ","Июль","2021","2"
"76","Восточный административный округ","Июль","2021","2.25460550178E9"
"77","Юго-Восточный административный округ","Июль","2021","2.19782216828E9"
"78","Южный административный округ","Июль","2021","2.42427903451E9"
"79","Юго-Западный административный округ","Июль","2021","2.26753251221E9"
"80","Западный административный округ","Июль","2021","1.85989549458E9"
"81","Северо-Западный административный округ","Июль","2021","1.32689333599E9"
"82","Зеленоградский административный округ","Июль","2021","4.377640905E8"
"83","Новомосковский административный округ","Июль","2021","2.7636081724E8"
"84","Троицкий административный округ","Июль","2021","7.299332258E7"
"85","Центральный административный округ","Август","2021","1.38141507339E9"
"86","Северный административный округ","Август","2021","1.83881055573E9"
"87","Северо-Восточный административный округ","Август","2021","2"
"88","Восточный административный округ","Август","2021","2.21991583392E9"
"89","Юго-Восточный административный округ","Август","2021","2.15618798025E9"
"90","Южный административный округ","Август","2021","2.36462013834E9"
"91","Юго-Западный административный округ","Август","2021","2.22922056719E9"
"92","Западный административный округ","Август","2021","1.84036416661E9"
"93","Северо-Западный административный округ","Август","2021","1.32109503217E9"
"94","Зеленоградский административный округ","Август","2021","4.3694699548E8"
"95","Новомосковский административный округ","Август","2021","2.7615041776E8"
"96","Троицкий административный округ","Август","2021","7.395640052E7"
"97","Центральный административный округ","Сентябрь","2021","1.3748959736E9"
"98","Северный административный округ","Сентябрь","2021","1.84176063326E9"
"99","Северо-Восточный административный округ","Сентябрь","2021","2"
"100","Восточный административный округ","Сентябрь","2021","2.21719727021E9"
"101","Юго-Восточный административный округ","Сентябрь","2021","2.16316973682E9"
"102","Южный административный округ","Сентябрь","2021","2.3738010392E9"
"103","Юго-Западный административный округ","Сентябрь","2021","2.22830057925E9"
"104","Западный административный округ","Сентябрь","2021","1.84528649761E9"
"105","Северо-Западный административный округ","Сентябрь","2021","1.32095692206E9"
"106","Зеленоградский административный округ","Сентябрь","2021","4.4551833806E8"
"107","Новомосковский административный округ","Сентябрь","2021","2.9932698073E8"
"108","Троицкий административный округ","Сентябрь","2021","7.368799053E7"
"109","Центральный административный округ","Октябрь","2021","1.39523217422E9"
"110","Северный административный округ","Октябрь","2021","1.88794407703E9"
"111","Северо-Восточный административный округ","Октябрь","2021","2.11001717727E9"
"112","Восточный административный округ","Октябрь","2021","2.27236992408E9"
"113","Юго-Восточный административный округ","Октябрь","2021","2.2281294026E9"
"114","Южный административный округ","Октябрь","2021","2.43852785263E9"
"115","Юго-Западный административный округ","Октябрь","2021","2.26976867593E9"
"116","Западный административный округ","Октябрь","2021","1.88006817891E9"
"117","Северо-Западный административный округ","Октябрь","2021","1.35181042317E9"
"118","Зеленоградский административный округ","Октябрь","2021","4.4915680542E8"
"119","Новомосковский административный округ","Октябрь","2021","3.1391227311E8"
"120","Троицкий административный округ","Октябрь","2021","8.528033857E7"
"121","Центральный административный округ","Ноябрь","2021","1.42666801612E9"
"122","Северный административный округ","Ноябрь","2021","1.92728609715E9"
"123","Северо-Восточный административный округ","Ноябрь","2021","2.19490834542E9"
"124","Восточный административный округ","Ноябрь","2021","2.29385599273E9"
"125","Юго-Восточный административный округ","Ноябрь","2021","2.25769150216E9"
"126","Южный административный округ","Ноябрь","2021","2.47382842617E9"
"127","Юго-Западный административный округ","Ноябрь","2021","2.32988580517E9"
"128","Западный административный округ","Ноябрь","2021","1.95013435391E9"
"129","Северо-Западный административный округ","Ноябрь","2021","1.38001561016E9"
"130","Зеленоградский административный округ","Ноябрь","2021","4.5196186371E8"
"131","Новомосковский административный округ","Ноябрь","2021","3.1262383769E8"
"132","Троицкий административный округ","Ноябрь","2021","9.540017551E7"
"133","Центральный административный округ","Декабрь","2021","1.43257222785E9"
"134","Северный административный округ","Декабрь","2021","1.94661700852E9"
"135","Северо-Восточный административный округ","Декабрь","2021","2.19252852974E9"
"136","Восточный административный округ","Декабрь","2021","2.30557715828E9"
"137","Юго-Восточный административный округ","Декабрь","2021","2.33580921444E9"
"138","Южный административный округ","Декабрь","2021","2.51768723023E9"
"139","Юго-Западный административный округ","Декабрь","2021","2.32664656503E9"
"140","Западный административный округ","Декабрь","2021","1.98253891164E9"
"141","Северо-Западный административный округ","Декабрь","2021","1.40975502714E9"
"142","Зеленоградский административный округ","Декабрь","2021","4.5493816364E8"
"143","Новомосковский административный округ","Декабрь","2021","3.2906037714E8"
"144","Троицкий административный округ","Декабрь","2021","9.83634165E7"
