"","AdmArea","Month","Year","TotalAmount"
"1","Центральный административный округ","Январь","2021","1.39025640239E9"
"2","Северный административный округ","Январь","2021","1.86811610511E9"
"3","Северо-Восточный административный округ","Январь","2021","2.11658350112E9"
"4","Восточный административный округ","Январь","2021","2.26762542666E9"
"5","Юго-Восточный административный округ","Январь","2021","2.20526687133E9"
"6","Южный административный округ","Январь","2021","2.42362481993E9"
"7","Юго-Западный административный округ","Январь","2021","2.25945737669E9"
"8","Западный административный округ","Январь","2021","1.87316396812E9"
"9","Северо-Западный административный округ","Январь","2021","1.32676489118E9"
"10","Зеленоградский административный округ","Январь","2021","4.3602388077E8"
"11","Новомосковский административный округ","Январь","2021","2.7493131244E8"
"12","Троицкий административный округ","Январь","2021","1"
"13","Центральный административный округ","Февраль","2021","1.36997152859E9"
"14","Северный административный округ","Февраль","2021","1.89856552983E9"
"15","Северо-Восточный административный округ","Февраль","2021","2.1308795662E9"
"16","Восточный административный округ","Февраль","2021","2.28718884797E9"
"17","Юго-Восточный административный округ","Февраль","2021","2.22744855599E9"
"18","Южный административный округ","Февраль","2021","2.45137358753E9"
"19","Юго-Западный административный округ","Февраль","2021","2.26371666119E9"
"20","Западный административный округ","Февраль","2021","1.89218920609E9"
"21","Северо-Западный административный округ","Февраль","2021","1.35243676157E9"
"22","Зеленоградский административный округ","Февраль","2021","4.4958612352E8"
"23","Новомосковский административный округ","Февраль","2021","2.907550192E8"
"24","Троицкий административный округ","Февраль","2021","1"
"25","Центральный административный округ","Март","2021","1.38567590484E9"
"26","Северный административный округ","Март","2021","1.89102676946E9"
"27","Северо-Восточный административный округ","Март","2021","2.13552761776E9"
"28","Восточный административный округ","Март","2021","2.28057764547E9"
"29","Юго-Восточный административный округ","Март","2021","2.23038537194E9"
"30","Южный административный округ","Март","2021","2.46901069062E9"
"31","Юго-Западный административный округ","Март","2021","2.27575893593E9"
"32","Западный административный округ","Март","2021","1.90276942322E9"
"33","Северо-Западный административный округ","Март","2021","1.35472803217E9"
"34","Зеленоградский административный округ","Март","2021","4.4518023136E8"
"35","Новомосковский административный округ","Март","2021","2.9273340346E8"
"36","Троицкий административный округ","Март","2021","1"
"37","Центральный административный округ","Апрель","2021","1.38433332946E9"
"38","Северный административный округ","Апрель","2021","1.9008900575E9"
"39","Северо-Восточный административный округ","Апрель","2021","2.14541078138E9"
"40","Восточный административный округ","Апрель","2021","2.2752519377E9"
"41","Юго-Восточный административный округ","Апрель","2021","2.21624438067E9"
"42","Южный административный округ","Апрель","2021","2.45049563095E9"
"43","Юго-Западный административный округ","Апрель","2021","2.28404894092E9"
"44","Западный административный округ","Апрель","2021","1.89959133047E9"
"45","Северо-Западный административный округ","Апрель","2021","1.34344667875E9"
"46","Зеленоградский административный округ","Апрель","2021","4.4331136436E8"
"47","Новомосковский административный округ","Апрель","2021","2.8884006497E8"
"48","Троицкий административный округ","Апрель","2021","1"
"49","Центральный административный округ","Май","2021","1.39971150675E9"
"50","Северный административный округ","Май","2021","1.89362296406E9"
"51","Северо-Восточный административный округ","Май","2021","2.14959484699E9"
"52","Восточный административный округ","Май","2021","2.28717899495E9"
"53","Юго-Восточный административный округ","Май","2021","2.23580860527E9"
"54","Южный административный округ","Май","2021","2.48660946822E9"
"55","Юго-Западный административный округ","Май","2021","2.30006008021E9"
"56","Западный административный округ","Май","2021","1.90542954676E9"
"57","Северо-Западный административный округ","Май","2021","1.34860168495E9"
"58","Зеленоградский административный округ","Май","2021","4.4722429156E8"
"59","Новомосковский административный округ","Май","2021","2.975760588E8"
"60","Троицкий административный округ","Май","2021","9.398067926E7"
"61","Центральный административный округ","Июнь","2021","1.38876361668E9"
"62","Северный административный округ","Июнь","2021","1.87883550107E9"
"63","Северо-Восточный административный округ","Июнь","2021","2.14626993753E9"
